Estimate Status,Year,Species,Sub_group,Total_catch_(A+B1+B2),PSE
FINAL,1987,CATFISHES,FRESHWATER CATFISHES,2578,73.8
FINAL,1987,CATFISHES,SALTWATER CATFISHES,23045,48.3
FINAL,1987,CODS AND HAKES,OTHER CODS/HAKES,3217,79
FINAL,1987,DOLPHINS,DOLPHINS,93791,25.8
FINAL,1987,DRUMS,ATLANTIC CROAKER,2275519,15.6
FINAL,1987,DRUMS,BLACK DRUM,91647,56.4
FINAL,1987,DRUMS,KINGFISHES,2117938,23.4
FINAL,1987,DRUMS,OTHER DRUM,7204,76.3
FINAL,1987,DRUMS,RED DRUM,292977,30.1
FINAL,1987,DRUMS,SILVER PERCH,378593,62
FINAL,1987,DRUMS,SPOT,7755883,23.3
FINAL,1987,DRUMS,SPOTTED SEATROUT,1710914,26.5
FINAL,1987,DRUMS,WEAKFISH,2653941,52.7
FINAL,1987,EELS,EELS,12420,73.5
FINAL,1987,FLOUNDERS,GULF FLOUNDER,686,100.4
FINAL,1987,FLOUNDERS,OTHER FLOUNDERS,99103,33.8
FINAL,1987,FLOUNDERS,SOUTHERN FLOUNDER,719324,56.9
FINAL,1987,FLOUNDERS,SUMMER FLOUNDER,1202381,27.2
FINAL,1987,GRUNTS,OTHER GRUNTS,13751,47.8
FINAL,1987,GRUNTS,PIGFISH,2013298,24.7
FINAL,1987,GRUNTS,WHITE GRUNT,36676,37.4
FINAL,1987,HERRINGS,HERRINGS,121051,40.5
FINAL,1987,JACKS,CREVALLE JACK,38685,51.6
FINAL,1987,JACKS,FLORIDA POMPANO,341841,22.6
FINAL,1987,JACKS,GREATER AMBERJACK,11390,27.5
FINAL,1987,JACKS,OTHER JACKS,71470,79.1
FINAL,1987,MULLETS,MULLETS,5256833,55
FINAL,1987,OTHER FISHES,OTHER FISHES,544678,32.8
FINAL,1987,PORGIES,OTHER PORGIES,23180,31.9
FINAL,1987,PORGIES,PINFISHES,3511882,18.2
FINAL,1987,PORGIES,RED PORGY,38942,48.6
FINAL,1987,PORGIES,SCUP,2161,82.5
FINAL,1987,PORGIES,SHEEPSHEAD,122178,53.5
FINAL,1987,PUFFERS,PUFFERS,482945,53.7
FINAL,1987,SEA BASSES,BLACK SEA BASS,978836,20.6
FINAL,1987,SEA BASSES,EPINEPHELUS GROUPERS,2372,40.6
FINAL,1987,SEA BASSES,MYCTEROPERCA GROUPERS,27884,54
FINAL,1987,SEA BASSES,OTHER SEA BASSES,54994,50.2
FINAL,1987,SEAROBINS,SEAROBINS,18679,40.4
FINAL,1987,SNAPPERS,GRAY SNAPPER,7199,57
FINAL,1987,SNAPPERS,OTHER SNAPPERS,11514,51.9
FINAL,1987,SNAPPERS,RED SNAPPER,32695,41.9
FINAL,1987,SNAPPERS,VERMILION SNAPPER,38109,67.4
FINAL,1987,TEMPERATE BASSES,WHITE PERCH,91103,66.8
FINAL,1987,TOADFISHES,TOADFISHES,104193,35.2
FINAL,1987,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,4212,56.4
FINAL,1987,TUNAS AND MACKERELS,KING MACKEREL,213047,21.5
FINAL,1987,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,35514,29.6
FINAL,1987,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,121720,54.4
FINAL,1987,TUNAS AND MACKERELS,SPANISH MACKEREL,1010252,21.5
FINAL,1987,WRASSES,OTHER WRASSES,4940,67.9
FINAL,1987,WRASSES,TAUTOG,7054,57.3
FINAL,1988,BARRACUDAS,BARRACUDAS,17741,61.5
FINAL,1988,BLUEFISH,BLUEFISH,4133690,19.3
FINAL,1988,CARTILAGINOUS FISHES,DOGFISH SHARKS,375644,31.8
FINAL,1988,CARTILAGINOUS FISHES,OTHER SHARKS,531941,43.2
FINAL,1988,CARTILAGINOUS FISHES,SKATES/RAYS,551822,25.7
FINAL,1988,CATFISHES,FRESHWATER CATFISHES,559,100.9
FINAL,1988,CATFISHES,SALTWATER CATFISHES,1748,57
FINAL,1988,CODS AND HAKES,ATLANTIC COD,11872,90.8
FINAL,1988,CODS AND HAKES,OTHER CODS/HAKES,173783,50.4
FINAL,1988,DOLPHINS,DOLPHINS,113083,49.6
FINAL,1988,DRUMS,ATLANTIC CROAKER,4992008,18.5
FINAL,1988,DRUMS,BLACK DRUM,18883,43.8
FINAL,1988,DRUMS,KINGFISHES,3327850,26.7
FINAL,1988,DRUMS,RED DRUM,631884,48.4
FINAL,1988,DRUMS,SILVER PERCH,125260,50.4
FINAL,1988,DRUMS,SPOT,12042964,17.2
FINAL,1988,DRUMS,SPOTTED SEATROUT,1024979,35.4
FINAL,1988,DRUMS,WEAKFISH,825508,24.3
FINAL,1988,EELS,EELS,13181,54.2
FINAL,1988,FLOUNDERS,GULF FLOUNDER,1367,76.8
FINAL,1988,FLOUNDERS,OTHER FLOUNDERS,280288,35.5
FINAL,1988,FLOUNDERS,SOUTHERN FLOUNDER,98187,34.2
FINAL,1988,FLOUNDERS,SUMMER FLOUNDER,3349161,18.1
FINAL,1988,GRUNTS,OTHER GRUNTS,6518,75.7
FINAL,1988,GRUNTS,PIGFISH,3473622,17.8
FINAL,1988,GRUNTS,WHITE GRUNT,59361,41.9
FINAL,1988,HERRINGS,HERRINGS,424032,79.3
FINAL,1988,JACKS,BLUE RUNNER,6904,90.6
FINAL,1988,JACKS,CREVALLE JACK,10817,31.2
FINAL,1988,JACKS,FLORIDA POMPANO,184171,30
FINAL,1988,JACKS,GREATER AMBERJACK,8929,48.3
FINAL,1988,JACKS,OTHER JACKS,335691,96.7
FINAL,1988,MULLETS,MULLETS,668509,52.3
FINAL,1988,OTHER FISHES,OTHER FISHES,3307141,65.8
FINAL,1988,PORGIES,OTHER PORGIES,15836,50
FINAL,1988,PORGIES,PINFISHES,3186770,15.8
FINAL,1988,PORGIES,RED PORGY,52754,52.1
FINAL,1988,PORGIES,SCUP,1864,61.1
FINAL,1988,PORGIES,SHEEPSHEAD,160737,39.8
FINAL,1988,PUFFERS,PUFFERS,2614912,58.4
FINAL,1988,SEA BASSES,BLACK SEA BASS,1325021,21.4
FINAL,1988,SEA BASSES,EPINEPHELUS GROUPERS,4111,46.3
FINAL,1988,SEA BASSES,MYCTEROPERCA GROUPERS,18961,31.3
FINAL,1988,SEA BASSES,OTHER SEA BASSES,31690,53
FINAL,1988,SEAROBINS,SEAROBINS,174537,25.5
FINAL,1988,SNAPPERS,GRAY SNAPPER,24,100
FINAL,1988,SNAPPERS,OTHER SNAPPERS,2272,80
FINAL,1988,SNAPPERS,RED SNAPPER,8592,56.7
FINAL,1988,SNAPPERS,VERMILION SNAPPER,44764,51.2
FINAL,1988,TEMPERATE BASSES,STRIPED BASS,30404,92.3
FINAL,1988,TEMPERATE BASSES,WHITE PERCH,10572,60.4
FINAL,1988,TOADFISHES,TOADFISHES,306831,30.5
FINAL,1988,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,8469,73.8
FINAL,1988,TUNAS AND MACKERELS,KING MACKEREL,170950,14.8
FINAL,1988,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,28827,28.2
