County,Land Cover,1996 sq.mi,2001 sq.mi,2006 sq.mi,2011 sq.mi,2016 sq.mi,,,,,,,,,,
Hyde,HID,0.33,0.35,0.4,0.48,0.48,,,,,,,,,,
Hyde,LID,5.74,5.92,5.91,5.91,5.91,,,,,,,,,,
Hyde,OSD,1.28,1.36,1.34,1.31,1.31,,,,,,,,,,
Hyde,GRS,3.3,4.35,5.75,2.7,1.76,,,,,,,,,,
Hyde,AGR,160.82,161.58,162.08,162.89,162.35,,,,,,,,,,
Hyde,FOR,31.63,30.5,28.2,31.69,34.13,,,,,,,,,,
Hyde,SCB,7.56,7.67,8.1,6.84,5.86,,,,,,,,,,
Hyde,WDW,288.39,281.85,278.63,266.25,268.84,,,,,,,,,,
Hyde,EMW,107.61,113.06,116.12,127.82,125.41,,,,,,,,,,
Hyde,BAR,21.18,20.53,20.64,20.81,21.05,,,,,,,,,,
Hyde,WTR,796.27,796.96,796.95,797.41,797.02,,,,,,,,,,
Jones,HID,0.34,0.35,0.37,0.45,0.46,,,,,,,,,,
Jones,LID,6.05,6.26,6.27,6.3,6.31,,,,,,,,,,
Jones,OSD,1.51,1.54,1.56,1.6,1.61,,,,,,,,,,
Jones,GRS,8.14,12.28,25.53,20.93,18.52,,,,,,,,,,
Jones,AGR,95.47,96.14,97.09,97.12,98.44,,,,,,,,,,
Jones,FOR,156.61,154.22,135.49,131.24,141.09,,,,,,,,,,
Jones,SCB,29.37,29.17,33.7,41.9,33.6,,,,,,,,,,
Jones,WDW,168.97,164.61,161.02,158.4,159.41,,,,,,,,,,
Jones,EMW,4,5.96,9.04,11.12,10.47,,,,,,,,,,
Jones,BAR,0.3,0.31,0.53,0.92,0.61,,,,,,,,,,
Jones,WTR,2.56,2.48,2.72,3.34,2.82,,,,,,,,,,
Lenoir,HID,4.3,4.32,4.57,4.92,5.09,,,,,,,,,,
Lenoir,LID,17.78,18.04,18.19,18.42,18.59,,,,,,,,,,
Lenoir,OSD,7.8,7.94,8.02,8.43,8.56,,,,,,,,,,
Lenoir,GRS,4.55,6.17,8.69,7.9,8.81,,,,,,,,,,
Lenoir,AGR,170.95,171.79,171.77,171,171.08,,,,,,,,,,
Lenoir,FOR,85.14,86.15,82.53,84.46,79.79,,,,,,,,,,
Lenoir,SCB,21.48,20.63,21.1,19.79,22.96,,,,,,,,,,
Lenoir,WDW,80.55,76.95,76.81,76.84,76.76,,,,,,,,,,
Lenoir,EMW,4.84,5.11,4.39,4.39,4.43,,,,,,,,,,
Lenoir,BAR,0.28,0.23,0.54,0.61,0.54,,,,,,,,,,
Lenoir,WTR,4.43,4.76,5.48,5.33,5.48,,,,,,,,,,
Martin,HID,1.69,1.71,1.79,1.92,2,,,,,,,,,,
Martin,LID,12.62,13.14,13.16,13.25,13.38,,,,,,,,,,
Martin,OSD,3.86,4.18,4.18,4.32,4.49,,,,,,,,,,
Martin,GRS,4.84,7.1,20.16,15.3,16,,,,,,,,,,
Martin,AGR,149.14,149.94,149.99,149.08,148.66,,,,,,,,,,
Martin,FOR,124.29,121.96,106.92,107.8,109.85,,,,,,,,,,
Martin,SCB,27.45,27.36,29.59,34.58,31.93,,,,,,,,,,
Martin,WDW,133.06,130.22,127.05,129.68,128.34,,,,,,,,,,
Martin,EMW,2.35,3.39,6.05,2.53,3.93,,,,,,,,,,
Martin,BAR,0.13,0.08,0.17,0.2,0.17,,,,,,,,,,
Martin,WTR,2.07,2.43,2.45,2.86,2.77,,,,,,,,,,
New Hanover,HID,13.85,14.22,16.36,17.5,18.17,,,,,,,,,,
New Hanover,LID,37.13,38.55,40.26,40.97,41.24,,,,,,,,,,
New Hanover,OSD,17.83,19.48,19.84,20.26,20.32,,,,,,,,,,
New Hanover,GRS,2.29,2.53,3.86,2.91,2.78,,,,,,,,,,
New Hanover,AGR,6.05,6.3,5.37,5.14,5.24,,,,,,,,,,
New Hanover,FOR,36.34,34.26,31.86,31.71,30.8,,,,,,,,,,
New Hanover,SCB,13.5,12.52,10.3,9.9,10.16,,,,,,,,,,
New Hanover,WDW,43,41.62,39.81,38.94,39.08,,,,,,,,,,
New Hanover,EMW,17.83,18.32,19.21,19.21,19.01,,,,,,,,,,
New Hanover,BAR,6.44,6.43,7.24,7.15,7.06,,,,,,,,,,
New Hanover,WTR,132.36,132.4,132.54,132.95,132.76,,,,,,,,,,
Onslow,HID,8.92,9.1,9.96,11.41,12.71,,,,,,,,,,
Onslow,LID,32.96,34.22,35.25,38.42,39.6,,,,,,,,,,
Onslow,OSD,17.35,19.16,20.63,25,25.6,,,,,,,,,,
Onslow,GRS,19.35,29.44,37.55,26.83,26.73,,,,,,,,,,
Onslow,AGR,101.69,102.49,101.48,98.99,98.98,,,,,,,,,,
Onslow,FOR,252.77,248.47,235.89,238.01,240.83,,,,,,,,,,
Onslow,SCB,57.92,53.47,53.62,55.38,50.51,,,,,,,,,,
Onslow,WDW,240.3,230.22,227.97,222.21,225.79,,,,,,,,,,
Onslow,EMW,26.82,30.74,32.13,36.18,32.6,,,,,,,,,,
Onslow,BAR,12.82,13.31,15.73,16.93,16.13,,,,,,,,,,
Onslow,WTR,137.65,137.95,138.36,139.2,139.09,,,,,,,,,,
Pamlico,HID,0.34,0.37,0.37,0.46,0.47,,,,,,,,,,
Pamlico,LID,4.81,5.64,5.64,5.86,5.87,,,,,,,,,,
Pamlico,OSD,1.28,1.34,1.34,2.04,2.05,,,,,,,,,,
Pamlico,GRS,7.53,7.06,10.57,4.84,5.83,,,,,,,,,,
Pamlico,AGR,59.15,60.21,60.31,59.38,59.34,,,,,,,,,,
Pamlico,FOR,74.17,70.35,65.43,66.21,70.76,,,,,,,,,,
Pamlico,SCB,9.45,16.83,18.11,22.55,17.16,,,,,,,,,,
Pamlico,WDW,135.18,131.34,131.43,132.35,131.64,,,,,,,,,,
Pamlico,EMW,46.33,44.33,43.9,42.57,43.53,,,,,,,,,,
Pamlico,BAR,4.55,4.58,4.74,5.17,5.12,,,,,,,,,,
Pamlico,WTR,223.44,224.2,224.41,224.79,224.47,,,,,,,,,,
Pasquotank,HID,1.59,1.7,1.91,2.27,2.36,,,,,,,,,,
Pasquotank,LID,9.22,9.51,9.96,10.31,10.45,,,,,,,,,,
Pasquotank,OSD,4.23,4.42,5.53,6.94,6.97,,,,,,,,,,
Pasquotank,GRS,0.76,0.76,1.02,1.06,0.98,,,,,,,,,,
Pasquotank,AGR,130.39,130.47,129.24,127.35,127.52,,,,,,,,,,
Pasquotank,FOR,15.44,15.2,15.11,14.22,14.47,,,,,,,,,,
Pasquotank,SCB,2.95,3.02,2.59,3.02,2.45,,,,,,,,,,
Pasquotank,WDW,57.69,57.72,56.67,56.72,56.31,,,,,,,,,,
Pasquotank,EMW,3.02,2.51,3.24,3.1,3.51,,,,,,,,,,
Pasquotank,BAR,0.3,0.28,0.23,0.32,0.3,,,,,,,,,,
Pasquotank,WTR,63.85,63.86,63.94,64.12,64.12,,,,,,,,,,
Pender,HID,1.85,1.91,2.2,2.5,2.67,,,,,,,,,,
Pender,LID,16.87,17.75,18.35,18.81,18.99,,,,,,,,,,
Pender,OSD,5.95,6.52,7.81,8.59,8.88,,,,,,,,,,
Pender,GRS,20.58,25.84,29.18,25.72,25.9,,,,,,,,,,
Pender,AGR,96.51,98.24,97.14,97.4,97.66,,,,,,,,,,
Pender,FOR,239.59,232.81,227.77,249.17,238.3,,,,,,,,,,
Pender,SCB,61.59,66.85,66.4,46.9,57.15,,,,,,,,,,
Pender,WDW,398.92,388.33,383.87,381.36,381.87,,,,,,,,,,
Pender,EMW,19.98,23.35,25.68,27.33,27.78,,,,,,,,,,
Pender,BAR,4.13,4.59,6.01,6.52,6.1,,,,,,,,,,
Pender,WTR,66.66,66.45,68.21,68.34,67.33,,,,,,,,,,
Perquimans,HID,0.29,0.31,0.38,0.43,0.47,,,,,,,,,,
Perquimans,LID,5.06,5.15,5.32,5.39,5.44,,,,,,,,,,
Perquimans,OSD,1.33,1.35,1.41,1.64,1.77,,,,,,,,,,
Perquimans,GRS,1.73,2.2,12.07,5.38,3.34,,,,,,,,,,
Perquimans,AGR,127.2,128.05,127.97,127.79,128.35,,,,,,,,,,
Perquimans,FOR,40.9,39.89,30.05,30.92,38.12,,,,,,,,,,
Perquimans,SCB,7.89,8.13,8.31,14.61,8.69,,,,,,,,,,
Perquimans,WDW,60.28,59.54,57.07,58.23,57.73,,,,,,,,,,
Perquimans,EMW,2.25,2.29,3.63,2.32,2.82,,,,,,,,,,
Perquimans,BAR,0.05,0.04,0.65,0.11,0.1,,,,,,,,,,
Perquimans,WTR,81.95,81.96,82.07,82.11,82.1,,,,,,,,,,
Pitt,HID,8.84,8.94,10.72,12.3,12.52,,,,,,,,,,
Pitt,LID,29.08,29.92,31.33,32.71,32.87,,,,,,,,,,
Pitt,OSD,15.72,16.98,18.42,19.84,20.06,,,,,,,,,,
Pitt,GRS,14.03,15.71,24.5,14.89,14.93,,,,,,,,,,
